,Pos,Player,Tm,Age,Yrs,G,GS,Cmp,PsAtt,PsYds,PsTD,PsInt,Att,RshYds,RshTD,Rec,RecYds,RecTD,Solo,Sk,Int,All-pro teams,Year
33,LB,Derrick Brooks,TAM,27,5.0,16,16,0,0,0,0,0,0,0,0,0,0,0,123.0,1.0,1,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
34,G,Larry Allen,DAL,29,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, SN: 1st Tm",2000
35,WR,Marvin Harrison,IND,28,4.0,16,16,0,0,0,0,0,0,0,0,102,1413,14,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, SN: 1st Tm",2000
36,RB,Eddie George,TEN,27,4.0,16,16,0,0,0,0,0,403,1509,14,50,453,2,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm",2000
37,C,Tom Nalen,DEN,29,6.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, SN: 1st Tm",2000
38,WR,Az-Zahir Hakim,STL,23,2.0,16,4,0,0,0,0,0,5,19,0,53,734,4,1.0,0.0,0,"FW: 1st Tm, SN: 1st Tm",2000
39,T,Orlando Pace,STL,25,3.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2000
40,RB,Edgerrin James,IND,22,1.0,16,16,0,0,0,0,0,387,1709,13,63,594,5,0.0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, SN: 1st Tm",2000
41,T,Willie Roaf,NOR,30,7.0,16,16,0,0,0,0,0,0,0,0,0,0,0,,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm",2000
42,RB,Michael Bates,CAR,31,7.0,16,0,0,0,0,0,0,5,13,0,5,38,0,11.0,0.0,0,"FW: 1st Tm All-Conf., FW: 1st Tm",2000
